DEPARTAMENTO,MUNICIPIO,CODIGO DANE,ARMAS MEDIOS,FECHA HECHO,GENERO,GRUPO ETARIO,DESCRIPCION CONDUCTA,CANTIDAD
CASANARE,YOPAL (CT),85001000,ARMA BLANCA / CORTOPUNZANTE,03/01/2010,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
ANTIOQUIA,BRICEÑO,5107000,ARMA BLANCA / CORTOPUNZANTE,05/01/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
ARAUCA,TAME,81794000,ARMA BLANCA / CORTOPUNZANTE,05/01/2010,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
CESAR,AGUACHICA,20011000,ARMA BLANCA / CORTOPUNZANTE,08/01/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
GUAJIRA,DIBULLA,44090000,ARMA BLANCA / CORTOPUNZANTE,09/01/2010,FEMENINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
ANTIOQUIA,BRICEÑO,5107000,-,11/01/2010,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
CESAR,CURUMANÍ,20228000,ARMA BLANCA / CORTOPUNZANTE,11/01/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
GUAJIRA,RIOHACHA (CT),44001000,ARMA BLANCA / CORTOPUNZANTE,13/01/2010,MASCULINO,ADOLECENTES,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
GUAJIRA,RIOHACHA (CT),44001000,ARMA BLANCA / CORTOPUNZANTE,13/01/2010,FEMENINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
VALLE,BUENAVENTURA,76109000,ARMA BLANCA / CORTOPUNZANTE,16/01/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
ARAUCA,TAME,81794000,-,17/01/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
SANTANDER,BARBOSA,68077000,NO REPORTADO,18/01/2010,FEMENINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
RISARALDA,PEREIRA (CT),66001000,ARMA BLANCA / CORTOPUNZANTE,19/01/2010,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
ANTIOQUIA,MEDELLÍN (CT),5001000,NO REPORTADO,21/01/2010,FEMENINO,ADOLECENTES,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CASANARE,TÁMARA,85400000,ARMA BLANCA / CORTOPUNZANTE,21/01/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
BOYACÁ,SOGAMOSO,15759000,ARMA BLANCA / CORTOPUNZANTE,22/01/2010,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
ARAUCA,SARAVENA,81736000,-,23/01/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
NARIÑO,PUPIALES,52585000,NO REPORTADO,23/01/2010,MASCULINO,ADOLECENTES,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
ANTIOQUIA,SAN LUIS,5660000,ARMA BLANCA / CORTOPUNZANTE,28/01/2010,FEMENINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
SANTANDER,BUCARAMANGA (CT),68001000,NO REPORTADO,29/01/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
